,Titles,Total sales in million
567,LEGO Star Wars: The Complete Saga,4.77
568,MySims,3.66
569,Cooking Mama 2: Dinner With Friends,3.58
570,Mario & Sonic at the Olympic Winter Games,3.47
571,Guitar Hero: On Tour,3.46
572,Club Penguin: Elite Penguin Force,3.14
573,LEGO Batman: The Videogame,3.06
574,Imagine: Babyz,2.87
575,Imagine: Fashion Designer,2.81
576,Hannah Montana,2.65
577,LEGO Harry Potter: Years 1-4,2.29
578,LEGO Indiana Jones: The Original Adventures,2.2
579,High School Musical: Makin' the Cut!,2.2
580,The Sims 2: Pets,2.07
581,Toy Story 3: The Video Game,2.06
582,Carnival Games,2.04
583,TouchMaster,2.0
584,Sonic Classic Collection,1.86
585,Phineas and Ferb,1.85
586,Deal or No Deal,1.72
587,Imagine: Teacher,1.71
588,Ben 10: Protector of Earth,1.7
589,Cooking Mama 3: Shop & Chop,1.69
590,SpongeBob's Atlantis SquarePantis,1.61
591,Guitar Hero: On Tour Decades,1.57
592,Moshi Monsters: Moshling Zoo,1.57
593,High School Musical 3: Senior Year,1.57
594,Hannah Montana: Music Jam,1.56
595,MySims Kingdom,1.56
596,Disney Fairies: Tinker Bell,1.52
597,The Simpsons Game,1.51
