,Names,Total_shipped,Total_sales
0,OkamiDen Read the review,,0.43m
1,TouchMaster 3,,0.43m
2,Dora the Explorer: Dora Puppy,,0.43m
3,"Barbie: Jet, Set & Style!",,0.43m
4,Castlevania: Dawn of Sorrow,,0.43m
5,Deer Drive,,0.43m
6,Petz Bunnyz,,0.43m
7,Petz: Horsez 2,,0.43m
8,Naruto: Ninja Council 3,,0.42m
9,Ben 10 Alien Force: Vilgax Attacks,,0.42m
10,Horsez,,0.42m
11,SpongeBob's Truth or Square (US sales),,0.42m
12,Crash: Mind Over Mutant,,0.42m
13,Solitaire Overload,,0.42m
14,The Smurfs,,0.41m
15,Call of Duty: Modern Warfare: Mobilized,,0.41m
16,Marvel Super Hero Squad,,0.41m
17,Itadaki Street DS,0.41m,
18,James Patterson Women's Murder Club: Games of Passion,,0.41m
19,Harry Potter and the Deathly Hallows - Part 1,,0.41m
20,Harvest Moon: Grand Bazaar,,0.41m
21,Rune Factory 3: A Fantasy Harvest Moon,,0.41m
22,Moshi Monsters: Moshlings Theme Park,,0.40m
23,Style Lab: Makeover,,0.40m
24,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009 Read the review,,0.40m
25,James Cameron's Avatar: The Game,,0.40m
26,My Virtual Tutor: Reading Adventure First to Second Grade,,0.40m
27,Ghostbusters: The Video Game,,0.40m
28,Star Wars The Clone Wars: Republic Heroes,,0.40m
29,Castlevania: Portrait of Ruin,,0.40m
30,Naruto: Path of the Ninja,,0.40m
31,Sherlock Holmes: The Mystery of the Mummy,,0.40m
32,Planet 51,,0.39m
33,Ener-G: Gym Rockets,,0.39m
34,Dancing with the Stars: We Dance!,,0.39m
35,Are You Smarter than a 5th Grader? Make the Grade,,0.39m
36,Monster Jam: Urban Assault,,0.39m
37,Advance Wars: Dual Strike,,0.39m
38,SpongeBob vs The Big One: Beach Party Cook Off,,0.39m
39,Diner Dash: Sizzle & Serve,,0.38m
40,Yoshi Touch & Go,,0.38m
41,Junior Classic Games,,0.38m
42,Jam Sessions: Sing and Play Guitar (US sales),,0.38m
43,Lego Marvel Super Heroes: Universe in Peril,,0.38m
44,Ghost Trick: Phantom Detective Read the review,,0.38m
45,Ice Age: Dawn of the Dinosaurs,,0.38m
46,Tamagotchi Connection: Corner Shop 3,,0.38m
47,Need for Speed: Nitro,,0.38m
48,Scooby-Doo! and the Spooky Swamp,,0.38m
49,Petz Rescue: Wildlife Vet,,0.38m
0,Paws & Claws: Pampered Pets,,0.38m
1,Monster Jam: Path of Destruction,,0.38m
2,Puppy Palace,,0.38m
3,Petz Rescue: Ocean Patrol,,0.37m
4,Guitar Hero On Tour: Modern Hits Read the review,,0.37m
5,Imagine: Salon Stylist,,0.37m
6,The World Ends With You Read the review,0.37m,
7,Kotoba no Puzzle: Mojipittan DS,,0.37m
8,Hell's Kitchen: The Game,,0.37m
9,The Legend of Spyro: A New Beginning,,0.37m
10,The Legend of Spyro: The Eternal Night,,0.37m
11,Naruto Shippuden: Ninja Destiny 2,,0.37m
12,Dreamworks Madagascar Kartz,,0.37m
13,Castlevania: Order of Ecclesia Read the review,,0.37m
14,"999: Nine Hours, Nine Persons, Nine Doors",,0.37m
15,One Piece: Gigant Battle!,,0.36m
16,My Horse & Me,,0.36m
17,ATV/Monster Truck Mayhem,,0.36m
18,Digging for Dinosaurs,,0.36m
19,Wonder Pets! Save the Animals!,,0.36m
20,Trauma Center: Under the Knife,,0.36m
21,Worms: Open Warfare 2,,0.35m
22,CSI: Deadly Intent - The Hidden Cases,,0.35m
23,One Piece: Gigant Battle 2 Shin Sekai,0.35m,
24,Hello Kitty Daily,,0.35m
25,Pirates of the Caribbean: At World's End,,0.34m
26,Mini Ninjas,,0.34m
27,Avatar: The Last Airbender - The Burning Earth,,0.34m
28,SimCity Creator,,0.34m
29,Speed Racer: The Videogame,,0.34m
30,SpongeBob SquarePants: The Yellow Avenger,,0.34m
31,Ninja Gaiden: Dragon Sword Read the review,0.34m,
32,Momotarou Dentetsu DS: Tokyo & Japan,,0.34m
33,Smart Girl's Party Game,,0.34m
34,My Baby Boy,,0.34m
35,Iron Man 2,,0.34m
36,Imagine: Movie Star,,0.34m
37,Puzzle Quest: Challenge of the Warlords,,0.34m
38,Bejeweled 3,,0.34m
