,Names,Total_shipped,Total_sales
14,NECROMANCER,,
15,NEUTOPIA,,
16,NEUTOPIA II,,
17,Never Alone,,
18,Ninja Spirit,,
19,Nova-111,,
20,Octodad: Dadliest Catch,,
21,OlliOlli,,
22,ORBIT,,
23,Panda Love,,
24,PENTAPUZZLE,,
25,Pic-a-Pix Color,,
26,Picross 3D,,
27,Pikmin 2,,
28,PINBALL,,
29,Pixel Slime U,,
30,PixelMaker Studio,,
31,Plantera,,
32,Pokémon Snap,,
33,Power Golf,,
34,Preston Sterling,,
35,psyscrolr Read the review,,
36,Puddle,,
37,Pumped BMX+,,
38,RADIANTFLUX: HYPERFRACTAL,,
39,Rainbow Snake,,
40,Rapala Pro Bass Fishing,,
41,Rayman 3,,
42,Rayman Advance,,
43,Rayman Raving Rabbids,,
44,Regina & Mac,,
45,Revenant Saga,,
46,Roving Rogue,,
47,RTO,,
48,RTO 2,,
49,SCOOP! Around the World in 80 Spaces,,
0,Scribble,,
1,SDK Spriter,,
2,Shadow Archery,,
3,Shakedown Hawaii,,
4,Shakedown: Hawaii,,
5,Shantae: Risky's Revenge Director's Cut,,
6,Shiny the Firefly,,
7,Shockman,,
8,SHOOT THE BALL,,
9,Shovel Knight Showdown,,
10,Shovel Knight: King of Cards,,
11,Sinister Assistant,,
12,Skeasy,,
13,Sky Force Anniversary,,
14,Snowball,,
15,SOLDIER BLADE,,
16,Space Hunted,,
17,Space Hunted: The Lost Levels,,
18,Space Intervention,,
19,Spellcaster's Assistant,,
20,SPHERE SLICE,,
21,Spheroids,,
22,Splashy Duck,,
23,Spy Chameleon - RGB Agent,,
24,Star Fox 64,,
25,Star Splash: Shattered Star,,
26,Super Destronaut,,
27,SUPER ROBO MOUSE,,
28,Super Ultra Star Shooter,,
29,Tabletop Gallery,,
30,Teslapunk,,
31,The Gem Collector,,
32,The Legend of Zelda: Majora's Mask,,
33,The Perplexing Orb,,
34,Tomeling in Trouble,,
35,Toon War,,
36,TOSS N GO,,
37,Touch Selections,,
38,Ultratron,,
39,Use Your Words,,
40,Vaccine,,
41,VICTORY RUN,,
42,Vigilante,,
43,Volgarr the Viking,,
44,VRog,,
45,Whispering Willows,,
46,WinKings,,
47,Words Up! Academy,,
48,World Sports Competition,,
49,Y.A.S.G,,
0,Yakuza 1&2 HD for Wii U,,
1,Year Walk,,
2,Zombeer,,
3,Zombie Brigade: No Brain No Gain,,
