,Names,Total_shipped,Total_sales
21,RPG Maker: Fes,,0.07m
22,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,,0.06m
23,Moshi Monsters: Katsuma Unleashed,,0.06m
24,Game Center CX: 3-Choume no Arino,,0.06m
25,The Amazing Spider-Man 2 (2014),,0.06m
26,Dynasty Warriors Vs,,0.06m
27,A-Train 3D: City Simulator,,0.06m
28,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,,0.06m
29,Lord of Magna: Maiden Heaven,,0.06m
30,Nicola Kanshuu: Model * Oshare Audition 2,,0.06m
31,Nicktoons MLB 3D,,0.06m
32,Cartoon Network: Battle Crashers,,0.06m
33,LEGO Friends,,0.06m
34,SpongeBob SquarePants: Plankton's Robotic Revenge,,0.06m
35,New Prince of Tennis: Go to the Top,,0.06m
36,Magi: Aratanaru Sekai,,0.06m
37,Smile PreCure! Let's Go! Marchen World,,0.06m
38,Toriko: Gourmet Battle!,,0.06m
39,Metal Max 4: Gekkou no Diva,,0.06m
40,Cardfight!! Vanguard G: Stride to Victory!!,,0.06m
41,Monster High: New Ghoul in School,,0.06m
42,Etrian Mystery Dungeon 2,,0.06m
43,Girls RPG: Cinderellife,,0.06m
44,All Kamen Rider: Rider Revolution,,0.06m
45,Yuugen Gaisha Brave Company,,0.06m
46,Ken to Mahou to Gakuen Mono. 3D,,0.06m
47,Pro Yakyuu Famista 2011,,0.06m
48,Goosebumps: The Game,,0.06m
49,Doraemon: Shin Nobita no Nihon Tanjou,,0.05m
0,Haikyu!! Cross Team Match!,,0.05m
1,Zyuden Sentai Kyoryuger: Game on Gaburincho,,0.05m
2,Minna no Ennichi,,0.05m
3,Sega 3D Classics Collection,,0.05m
4,Rodea the Sky Soldier,,0.05m
5,Hero Bank 2,,0.05m
6,My Hero Academia: Battle for All,,0.05m
7,Mahjong 3D: Warriors of the Emperor,,0.05m
8,Guild 01,,0.05m
9,Corpse Party: Blood Covered - Repeated Fear,,0.05m
10,Chousoku Henkei Gyrozetter: Albatross no Tsubasa,,0.05m
11,G1 Grand Prix,,0.05m
12,Yowamushi Pedal Asu e no High Cadence,,0.05m
13,Gaist Crusher,,0.05m
14,Detective Conan: Marionette Symphony,,0.05m
15,Medabots 9: Metabee Ver. / Rokusho Ver.,,0.05m
16,Nobunaga's Ambition II,,0.05m
17,Kung Fu Panda: Showdown of Legendary Legends,,0.05m
18,Centipede: Infestation,,0.05m
19,SpongeBob: HeroPants,,0.05m
20,Jake Hunter Detective Story: Ghost of the Dusk,,0.05m
21,Nazo Waku Yakata: Oto no Ma ni Ma ni,,0.05m
22,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,,0.04m
23,Beyblade Burst: God,,0.04m
24,Nobunaga's Ambition (2013),,0.04m
25,Gem Smashers,,0.04m
26,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,,0.04m
27,Riding Stables: The Whitakers present Milton and Friends,,0.04m
